head,relation,tail,noise
here are the choices that i will make,is a,premise,0
"i don't feel a real effort has been made an this very sensitive subject, not only of nuclear controls, but also of general disarmament",is a,claim,0
he seems to want to spend a great deal of money on just about every weapon system,is a,claim,0
their idea was to charge everybody more out-of-pocket costs in their budget that i vetoed,is a,claim,0
you were wrong,is a,claim,0
we're going to get it done in a second term,said in,16-10-2012,0
we can save half those numbers,said in,29-09-2020,0
"we have these ships that go underwater, nuclear submarines",is a,claim,0
mcclellan didn't say anything opposite of that,is a,claim,0
"they're the ones that, with the encouragement of senator obama and his cronies and his friends in washington",is a,claim,0
i have opposed that initiative,is a,premise,0
"after 9/11, after the recession had ended, the president asked for another tax cut and promised 5.6 million jobs would be created",is a,premise,0
many will lose it,said in,03-10-2012,0
i think we have made a bad decision,is a,claim,0
"instead our aid continued to batista, which was ineffective",said in,07-10-1960,0
that's $8 trillion,support,"no, it's not settled",0
its growth rate is not what counts,is a,claim,0
"ten years from now, 20 years from now",is a,claim,0
our bill was far more effective,said in,07-10-1960,0
the quality of the air's cleaner since i've been the president,is a,premise,0
"to make sure that even as we're producing more coal, we're producing it cleaner and smarter",said in,16-10-2012,0
what matters is something in this person's head says there is not going to be a consequence,support,there also needs to be strong enforcement of the law,0
i’m doing better than any republican has done in a long time,said in,29-09-2020,0
"when i was running for congress 1978 i sat and met with a person i felt very close to, a monsignor currently a bishop",said in,11-10-1984,0
i want middle-income taxpayers to have lower taxes,is a,claim,0
"i decided that a better way to approach the issue was to get other nations involved, just besides us",said in,30-09-2004,0
you respect the american people when you tell them the truth,said in,07-10-2020,0
"the israeli people not only have the right to defend themselves, they should defend themselves",is a,claim,0
that position is that the united states has a treaty - a treaty with all of the organization of american states - which prohibits us from interfering in the internal affairs of any other state and prohibits them as wel,support,for me to have made such a statement would been in direct uh - opposition to that treaty,0
she ended up living alone by choice,is a,premise,0
i have a record of reform,said in,15-10-2008,0
i have met with the legislative leaders,support,i can only say that my experience is there for the people to consider;,0
the two that are here are in more agreement than disagreement on this particular issue,attack,"the only one who would be disagreeing with us is the president, if he were present",0
